print;athlas;story;page;image;music;rules;code;transfer_codes;label;scen;todos;actions;addons;—;«»;{comm}{ecomm}{say}{said}{page:}{3mm}{comm}{ecomm}{say}{said}{page:}{3mm};На этой странице, если ты <b>НЕ согласен</b> с выбором Гипнотизера — ты <b>можешь</b> явно сказать «нет!» и <b>выбрать другой вариант</b>.;На этой странице, если ты <b>НЕ согласен</b> с выбором Гипнотизера — ты <b>можешь</b> явно возразить «Но нет же!» и <b>выбрать другой вариант</b> действий самостоятельно.
1;unknown;deadworld;entry_red;;;;;;;Во тьме полёт их незаметен, лишь звёздный свет над головой. Но знают звёзды, знает ветер. Когда они придут домой.;;Твой ночной полёт ведет {page:entry}{3mm};;;;;;
1;unknown;deadworld;entry_blue;;space_music2.mp3;;;;;В молчании — Слово. И свет лишь во тьме. И жизнь после смерти проносится быстро. Как ястреб, что мчится по сини небесной. Пустынной. Бескрайней… Так правь же морями! ;;Твоё сознание переносит тебя {page:entry}{3mm};;;;;;
1;unknown;deadworld;entry_green;;FRE.mp3;;;;;...В бликах звёздного огня бешенной битвы блеск, крик! Сыну Севера сагой Славы будет ближний Блицкриг. Боги битвы маршируют в чёрной форме Штормом! Молнии излом двоится серебром на чёрном!..;;Твой победный марш привёл тебя {page:entry}{3mm};;;;;;
1;unknown;deadworld;entry;;Nox Arcana - Dementia 13.mp3;;$sack->msg('Императивное поведение закончилось');;;Я нахожусь в странном и неприятном месте. Неприятное оно как минимум потому, что здесь нет ни малейшего признака жизни. Серое небо, тяжёлые свинцовые тучи над головой, впереди, от края до края, выцветшая безжизненная равнина.;Что мне делать? Попробовать выбраться отсюда или подождать на месте?;{comm}Выбираться отсюда!{ecomm}{say}Оставаться здесь просто бессмысленно, надо выбираться из этого гиблого места!{said}Отправляйся {page:getaway}{3mm}{comm}Стоять на месте и ждать{ecomm}{say}В такой ситуации нельзя терять голову и принимать скоропалительные решения. Надо осмотреться и немного подождать. {said}Иди {page:stay}{3mm};;;;;;
1;unknown;deadworld;getaway;;;;$sack->drop('R');; -R;Нет, оставаться здесь решительно невозможно, если я не хочу стать частью того песка, который хрустит у меня под ногами. Надо идти, думаю я и начинаю двигаться вперёд. Я иду по некоему подобию тропы, и она тянется в бесконечность...;;Теперь иди {page:on_my_way};;;;;;
1;unknown;deadworld;stay;;;;$sack->add('B')->drop('G');; -G +B;Нет, метаться туда-сюда и хвататься за решение, которое на первый взгляд кажется единственно правильным, определённо не мой выбор. Я лучше подумаю головой, поразмыслю! Покурю, вот опять же. Я достаю сигару и неспешно затягиваюсь. Ветра нет, вокруг меня полный штиль, только моря тоже нет… Сигаретный дым даже не удосуживается подняться вверх и завиться причудливыми узорами, он просто висит вокруг меня, а потом незаметно тает. Вокруг — сплошное уныние и серость. Это неприветливое место как будто высасывает все силы и желание что-то делать… Прошло несколько минут. Неужели я что-то упускаю?;Стоит ли мне осмотреться вокруг повнимательнее, или всё же надо двигаться, чтобы не застрять тут навечно?;{comm}Осмотреться повнимательнее{ecomm}{say}Я наверняка что-то упускаю. Не может такого быть, чтобы тут не было вообще ничего, представляющего интерес!{said}Осмотревшись, иди {page:look_thoroughly}{3mm}{comm}Идти отсюда!{ecomm}{say}Похоже, я не увижу здесь ничего, кроме пыли и запустения. Время покинуть это унылое место!{said}Иди отсюда {page:on_my_way}{3mm};;;;;;
1;unknown;deadworld;look_thoroughly;;;;$sack->add('B')->drop('R');; -R +B;Я повнимательней присматриваюсь к пейзажу, стараясь уловить хоть какое-нибудь движение или увидеть что-то, что даст мне пищу для размышлений. Нет, вокруг пустота. Даже пыль под ногами — и та однообразная, серая, как прах или тлен… Я поднимаю голову и замечаю в тусклом небе едва светящуюся точку — солнце. Но что это? Приглядевшись повнимательнее, я понимаю, что оно не движется — повешенное на помятом сером небе, оно просто висит здесь уже двадцать четыре года... Надо убираться из этого места!;;Иди {page:on_my_way};;;;;;
1;unknown;deadworld;on_my_way;;;;;;;Я иду много часов, но не могу сказать, сколько именно, потому что в этом месте и времени-то как будто нет. Но я чувствую — мои ноги начинают уставать. Пейзаж почти не меняется, изредка я ощущаю незначительный рельеф, но не более того. Но хоть тропа видна более-менее чётко. Кто её протоптал?.. Тропа начинает свой подъем вверх, петляя между холмов...;;Направляйся к холмам {page:hills};;;;;;
1;unknown;deadworld;hills;;;;$sack->drop('G');; -G;Долго ли, коротко ли, а я всё иду, пожирая как огонь, одну милю за другой. Подъём становится всё тяжелее. Ноги начинают подкашиваться, дрожать. Долго я так не протяну… А ещё тишина эта вокруг — давит, как будто к земле прижимает, ей богу! Уши как будто заложило — даже своего собственного голоса в этой тиши не различаю, не то что каких-то посторонних звуков-шорохов… Так и с ума сойти недолго.;Что же делать? На привал остановиться, или пальнуть раз-другой из пушки, чтоб тишину разогнать?;{comm}Устроить привал{ecomm}{say}Палить в белый свет, как в копеечку - бессмысленное ребячество, да и патроны мне еще пригодятся, а вот отдохнуть не помешало бы!{said}Иди отдыхать {page:camp}{3mm}{comm}Разогнать тишину пальбой из пушки{ecomm}{say}Ну невозможно же не слышать столько часов ни единого звука! Пара патронов - от меня не убудет, но хотя бы не так тягостно на душе станет!{said}Иди пострелять {page:shooting}{3mm};;;;;;
1;unknown;deadworld;shooting;;;;;;;Я достаю пушку, взвожу курок и нажимаю на спуск. Глухой щелчок... Осечка! Щелк! Щелк! Твою мать, да что же это такое? Я открываю барабан — гильзы с глухим могильным стуком падают на землю…{3mm}Внезапно, посмотрев под ноги, я замечаю несколько сотен покрытых пылью латунных цилиндров, лежащих на земле... Гильзы... Револьверные гильзы... Какого черта?..;;С холодком внутри иди {page:lowlands}{3mm};;;;;;
1;unknown;deadworld;camp;;;;;;;Для отдыха я нахожу себе место поплоще, как-никак — удобнее, чем со склона всё время съезжать. Сажусь, осматриваюсь — холмы, холмы, серость… Сколько тут оттенков серого-то?! Холодно — жуть. Продрогнуть можно до мозга костей! По краям дороги какие-то сухие корешки из-под земли выбиваются. Пожечь бы их, да огонь, зараза, ни в какую не занимается! Но ничего… где-то у меня была фляжка виски припрятана… А, вот она!;Выпить для согреву, или мозгами пораскинуть, пока голова трезвая?;{comm}Выпить и согреться{ecomm}{say}Еще не хватало на этом ветру простыть! А старый добрый виски выбивает из организма всю заразу почище, чем все эти новомодные лекарства.{said}Рассудив так, иди {page:drink}{3mm}{comm}Подумать на трезвую голову{ecomm}{say}Что я, пьяница, чтобы при первых трудностях утешение в алкоголе искать? Виски от меня никуда не денется, а вот думать лучше, пока голова ясная{said}Решив так, иди {page:think}{3mm};;;;;;
1;unknown;deadworld;drink;;;;$sack->add('RRR');; +3R;Виски — вот где жизнь! И я понимаю, что тот, кто это когда-то сказал, не соврал ни разу. Возможно, он был праведником и вознёсся к небесам ещё при жизни, но тем не менее, пара глотков огненной воды меня оживили. Даже серая пустыня на глазах перестаёт быть такой серой и унылой. Определённо, виски согревает мою душу, а не только тело. Я вытускаю из рук пустую бутылку — и она катится по склону, присоединившись внизу к десяткам таких же своих собратьев. Некоторые из пыльных бутылок лежат здесь уже давно... Дрожащей рукой я поднимаю одну из них и читаю написанный на ней год — 1921. Какого дьявола?..;;С холодком внутри иди {page:lowlands}{3mm};;;;;;
1;unknown;deadworld;think;;;;$sack->add('B')->drop('R');; -R +B;Сижу я на своём пригорке, печально оглядываюсь по сторонам. На небо смотреть особого смысла нет — там вообще ничего не меняется, как картину к потолку пришпилили. Остаётся только под ноги себе пялиться, траву жухлую руками перебирать да пепел с последней сигары на нее стряхивать… Лишь прах и тлен вокруг меня, насколько хватает глаз, прах, тлен и пепел... Потрясенный этой догадкой, я осматриваюсь и вдруг понимаю, что десятки человек так же, как и я, сидели в этом месте и курили сигары... В мире, где нет ветра, пепел сигар оставался нетронутым все двадцать три года... Чёрт! Мне точно нужно отсюда выбираться...;;С холодком внутри иди {page:lowlands}{3mm};;;;;;
1;unknown;deadworld;lowlands;;;;$sack->drop('GR');; -GR;Тропа ведёт меня в низину и становится шире. Местность утопает в густом тумане...{2mm}Понимая, что движение — есть жизнь, я иду дальше. Каждый шаг даётся всё труднее. Порой на то, чтобы выдернуть ногу из грязищи, у меня уходит несколько минут. А грязь ещё вязкая такая, чёрная, липкая… Вокруг лишь космический холод и густая, безнадежная обреченность... Еле-еле я нахожу на ощупь какую-то корягу и выбираюсь на сухой участок… Земля содрогается. Тяжкий вздох и низкий, трубный гул проносится над болотом...;;Отправляйся {page:mrmk}{3mm};;;;;;
1;unknown;deadworld;mrmk;;;;$sack->drop('???');;;Я потрясенно оглядываюсь и лишь затем замечаю источник звука. И он — прямо подо мной...{2mm}Бивень с налипшей типой торчит в серые небеса. Бледные, покрытые пылью и грязью стены с малахитовыми переливами… Из узких прорезей прямо на меня взирают мертвые глазницы давно замолчавших орудий. Два перекрестия — полосы меди — раздавлены чудовищной силой. Шкура гиганта проломлена ударом невиданной силы, края отверстия черны и оплавились от нестерпимого жара, словно песок, в который ударила молния. Хищные щупальца, некогда цепкие и проворные, сожжены пламенем. Пробив ткань реальности, гигант застрял здесь навсегда. Я протягиваю руку и касаюсь металлической поверхности... Вспышка...;;Иди {page:metacom}{3mm};;;;;;
